Song,Performer
Somewhere In My Car,['Keith Urban']
Somewhere In The Night,['Barry Manilow' 'Helen Reddy' 'Batdorf & Rodney']
Somewhere In Your Heart,['Frank Sinatra']
Somewhere On A Beach,['Dierks Bentley']
Somewhere Only We Know,['Glee Cast' 'Keane']
Somewhere Out There,['Our Lady Peace']
"Somewhere Out There (From ""An American Tail"")",['Linda Ronstadt & James Ingram']
Somewhere Over The Rainbow,['Katharine McPhee' 'Nicholas David']
Somewhere There's A Someone,['Dean Martin']
Somewhere With You,['Kenny Chesney']
"Somewhere, My Love",['Ray Conniff And The Singers']
Son Of A Gun,"['Janet Featuring Missy Elliott, P. Diddy & Carly Simon']"
Son Of A Lovin' Man,['Buchanan Brothers']
Son Of A Travelin' Man,['Ed Ames']
Son Of My Father,['Giorgio' 'Chicory']
Son Of Sagittarius,['Eddie Kendricks']
Son Of Shaft,['The Bar-Kays']
Son-In-Law,['The Blossoms' 'Louise Brown']
Son-Of-A Preacher Man,['Dusty Springfield']
Song About A Girl,['Eric Paslay']
Song For Another Time,['Old Dominion']
Song For The Lonely,['Cher']
Song From M*A*S*H,['Al DeLory']
Song On The Radio,['Al Stewart']
Song Seller,['The Raiders']
Song Sung Blue,['Neil Diamond']
Songbird,['Kenny G' 'Barbra Streisand' 'Glee Cast']
Songman,['Cashman & West']
Songs About Me,['Trace Adkins']
Songs About Rain,['Gary Allan']
Soolaimón (African Trilogy II),['Neil Diamond']
Soon (I'll Be Home Again),['The 4 Seasons Featuring Frankie Valli']
Soon As I Get Home,['Faith Evans']
Soon I'll Wed My Love,['John Gary']
Soon You'll Get Better,['Taylor Swift Featuring Dixie Chicks']
Sooner Or Later,"['The Impressions' 'The Grass Roots' 'Johnny Mathis' 'Michelle Branch'
 'Breaking Benjamin']"
Soothe Me,['Sims Twins' 'Sam & Dave']
Sophisticated Cissy,['The Meters']
Sophisticated Lady (She's A Different Lady),['Natalie Cole']
Sorry,"['Justin Bieber' 'Beyonce' 'Buckcherry' 'Madonna'
 'Rick Ross Featuring Chris Brown']"
Sorry (I Ran All The Way Home),['The Impalas']
Sorry 2004,['Ruben Studdard']
Sorry For Party Rocking,['LMFAO']
Sorry Not Sorry,['Demi Lovato' 'Bryson Tiller']
Sorry Seems To Be The Hardest Word,['Elton John']
Sorry Suzanne,['The Hollies']
"Sorry, Blame It On Me",['Akon']
Sorry/That's The Trouble,['Grace Jones']
Soul City,['Partland Brothers']
Soul Dance Number Three,['Wilson Pickett']
Soul Deep,['The Box Tops']
Soul Dressing,"[""Booker T. & The MG's""]"
Soul Drippin',['The Mauds']
Soul Experience,['Iron Butterfly']
Soul Finger,['Bar-Kays']
Soul Food,['Goodie Mob']
Soul Heaven,['The Dixie Drifter']
Soul Hootenanny (Pt. I),['Gene Chandler']
Soul Inspiration,['Anita Baker']
Soul Je T'aime,['Sylvia And Ralfi Pagan']
Soul Kiss,['Olivia Newton-John']
Soul Makossa,['Manu Dibango' 'Afrique']
Soul Man,['Blues Brothers' 'Sam & Dave' 'Ramsey Lewis']
Soul Meeting,['The Soul Clan']
Soul Meets Body,['Death Cab For Cutie']
Soul Power (Pt. 1),['James Brown']
Soul Provider,['Michael Bolton']
Soul Sauce (Guacha Guaro),['Cal Tjader']
Soul Serenade,['Willie Mitchell' 'King Curtis']
Soul Shake,['Delaney & Bonnie & Friends']
Soul Sista,['Bilal']
"Soul Sister, Brown Sugar",['Sam & Dave']
Soul Song,['Joe Stampley']
Soul Survivor,['Young Jeezy Featuring Akon']
Soul Time,['Shirley Ellis']
"Soul To Squeeze (From ""Coneheads"")",['Red Hot Chili Peppers']
Soul Train,['Classics IV']
"Soul Train ""75""",['Soul Train Gang']
Soul Twist,['King Curtis And The Noble Knights']
Soul-Limbo,"[""Booker T. & The MG's""]"
Soulful Strut,['Young-Holt Unlimited']
Soulja Girl,"[""Soulja Boy Tell'em Featuring I-15""]"
Souljas,['Master P']
Soulmate,['Natasha Bedingfield']
Souls,['Rick Springfield']
Soulshake,['Peggy Scott & Jo Jo Benson']
Soulville,['Aretha Franklin' 'Dinah Washington']
Sound And Vision,['David Bowie']
Sound Asleep,['The Turtles']
Sound Of Da Police,['KRS-One']
Sound Of Love,['The Five Americans']
Sound Of Madness,['Shinedown']
Sound-Off,['Titus Turner']
Sounds Like Life To Me,['Darryl Worley']
Sounds Of Your Voice,['Jon Butcher Axis']
Soundtrack To Your Life,['Ashley Parker Angel']
Soup For One,['Chic']
Sour Girl,['Stone Temple Pilots']
Sour Suite,['The Guess Who']
Sour Times (Nobody Loves Me),['Portishead']
South Central Rain (I'm Sorry),['R.E.M.']
South Of The Border,['Ed Sheeran Featuring Camila Cabello & Cardi B']
South Side,['Moby Featuring Gwen Stefani']
South Street,['The Orlons']
Southbound,['Carrie Underwood']
Southbound Train,['Graham Nash & David Crosby']
Southern Comfort Zone,['Brad Paisley']
Southern Cross,"['Crosby, Stills & Nash']"
Southern Girl,['Tim McGraw']
Southern Gul,['Erykah Badu Featuring Rahzel']
Southern Hospitality,['Ludacris']
Southern Nights,['Glen Campbell']
Southern Pacific,['Neil Young/Crazy Horse']
Southern Voice,['Tim McGraw']
Southernplayalisticadillacmuzik,['OutKast']
Southside,['Lloyd Featuring Ashanti' 'Lil Baby']
"Southtown, U.S.A.",['The Dixiebelles']
Souvenirs,['Voyage']
Sowing The Seeds Of Love,['Tears For Fears']
Space Age Love Song,['A Flock Of Seagulls']
Space Age Whiz Kids,['Joe Walsh']
Space Cadet,['Metro Boomin Featuring Gunna']
"Space Jam (From ""Space Jam"")","[""Quad City DJ's""]"
Space Oddity,['David Bowie']
Space Race,['Billy Preston']
Spaceman,['Nilsson' 'The Killers']
Spaceship Superstar,['Prism']
Spanish Eddie,['Laura Branigan']
Spanish Eyes,['Al Martino']
Spanish Flea,['Herb Alpert & The Tijuana Brass']
Spanish Guitar,['Toni Braxton']
Spanish Harlem,['Ben E. King' 'Aretha Franklin' 'King Curtis']
Spanish Lace,['Gene McDaniels']
Spanish Nights And You,['Connie Francis']
Spark,['Tori Amos']
Sparkle And Shine,['The Clique']
Sparks,['Hilary Duff']
Sparks Fly,['Taylor Swift']
Speak,['Godsmack']
Speak Her Name,['Walter Jackson']
Speak Now,['Taylor Swift']
Speak Softly Love,['Al Martino']
Speak To A Girl,['Tim McGraw & Faith Hill']
Speak To The Sky,['Rick Springfield']
Special,['Garbage']
Special Delivery,['1910 Fruitgum Co.']
Special Lady,"['Ray, Goodman & Brown']"
Special Occasion,['Smokey Robinson & The Miracles']
Special Someone,['The Heywoods']
Special Way,['Kool & The Gang']
Speechless,['Dan + Shay' 'Lady Gaga']
Speed,['Montgomery Gentry' 'Alpha Team']
Speed Ball,['Ray Stevens']
Speed It Up,['Gunna']
Speed Of Sound,['Coldplay']
Speedy Gonzales,['Pat Boone']
Spend My Life,['Slaughter']
Spend My Life With You,['Eric Benet Featuring Tamia']
Spend Some Time,['Elvin Bishop Featuring Mickey Thomas']
Spend The Night In Love,['The 4 Seasons']
Spending My Time,['Roxette']
Spice Of Life,['The Manhattan Transfer']
Spice Up Your Life,['Spice Girls']
Spider Jiving,['Andy Fairweather Low']
Spiders & Snakes,['Jim Stafford']
Spies Like Us,['Paul McCartney']
Spill The Wine,['Eric Burdon And War' 'The Isley Brothers']
Spin,['Lifehouse']
Spin Spin Sugar,['Sneaker Pimps']
Spin That Wheel,['Hi Tek 3 Featuring Ya Kid K']
"Spin The Bottle (From ""Reality Bites"")",['The Juliana Hatfield 3']
Spinning Around (I Must Be Falling In Love),['The Main Ingredient']
Spinning Wheel,"['Blood, Sweat & Tears']"
Spinning Wheel (Pt. 1),['James Brown']
Spinout,['Elvis Presley With The Jordanaires']
Spirit,['Beyonce']
Spirit In The Dark,['Aretha Franklin with The Dixie Flyers']
Spirit In The Night,"[""Manfred Mann's Earth Band""]"
Spirit In The Sky,['Norman Greenbaum' 'Doctor And The Medics' 'Dorothy Morrison']
"Spirit Of A Boy, Wisdom Of A Man",['Randy Travis']
Spirit Of The Boogie/Summer Madness,['Kool & The Gang']
Spirits In The Material World,['The Police']
Splackavellie,['Pressha']
Splash Warning,"['Meek Mill Featuring Future, Roddy Ricch & Young Thug']"
Splash Waterfalls,['Ludacris']
Splashin,['Rich The Kid']
Splish Splash,['Bobby Darin']
Spoil My Night,['Post Malone Featuring Swae Lee']
Spooky,['Atlanta Rhythm Section' 'Classics IV' 'Mike Sharpe']
Spoonful,['Etta & Harvey']
Spotlight,['Gucci Mane Featuring Usher' 'Jennifer Hudson']
Spread It On Thick,['The Gentrys']
Spreadin' Honey,['The Watts 103rd Street Rhythm Band']
Spring,['Birdlegs & Pauline And Their Versatility Birds']
Spring Affair/Winter Melody,['Donna Summer']
Spring In Manhattan,['Tony Bennett']
Spring Love,['The Cover Girls']
Spring Love (Come Back To Me),['Stevie B']
Spring Rain,['Silvetti' 'Pat Boone']
Springfield Plane,"[""Kenny O'Dell""]"
Springsteen,['Eric Church']
Springtime Mama,['Henry Gross']
Sprinkle Me,['E-40 (Featuring Suga T)']
Spy In The House Of Love,['Was (Not Was)']
Square Biz,['Teena Marie']
Square Rooms,['Al Corley']
Squeeze Box,['The Who']
Squeeze Her-Tease Her (But Love Her),['Jackie Wilson']
St. Charles,['Jefferson Starship']
St. Elmo's Fire (Man In Motion),['John Parr']
St. Louis,['The Easybeats']
Stacy,['Fortune']
Stacy's Mom,['Fountains Of Wayne']
Stag-O-Lee,['Wilson Pickett']
Stages,['ZZ Top']
Stagger Lee,['Lloyd Price' 'Tommy Roe']
Stairway To Heaven,['Neil Sedaka' 'Pure Soul' 'Far Corporation']
Stan,['Eminem Featuring Dido']
Stand,['Rascal Flatts' 'R.E.M.' 'Poison']
Stand Back,['Stevie Nicks' 'The Fabulous Thunderbirds']
Stand Beside Me,['Jo Dee Messina']
Stand By,['Roman Holliday']
Stand By Me,"['Spyder Turner' 'John Lennon' 'Ben E. King' 'Mickey Gilley'
 'Maurice White' '4 The Cause' 'Earl Grant' 'David & Jimmy Ruffin']"
Stand By My Woman,['Lenny Kravitz']
Stand By You,['Rachel Platten']
Stand By Your Man,['Tammy Wynette' 'Candi Staton']
Stand In For Love,"[""The O'Jays""]"
Stand Or Fall,['The Fixx']
Stand Tall,['Burton Cummings']
Stand Up,['Ludacris Featuring Shawnna' 'David Lee Roth' 'Underworld' 'Love Tribe']
Stand Up (Kick Love Into Motion),['Def Leppard']
Stand!,['Sly & The Family Stone']
Standing At The End Of The Line,['Lobo']
Standing In For Jody,['Johnnie Taylor (The Soul Philosopher)']
Standing In The Shadows Of Love,['Four Tops']
Standing On The Top-Part 1,['The Temptations Featuring Rick James']
Standing Still,['Jewel']
Stanky Legg,['GS Boyz']
Star,"['Stealers Wheel' 'Earth, Wind & Fire']"
Star Baby,['The Guess Who']
Star Love,['Cheryl Lynn' 'The Playmates']
Star Of The Show,['Thomas Rhett']
Star On A TV Show,['The Stylistics']
Star Wars (Main Title),['London Symphony Orchestra']
Star Wars Theme/Cantina Band,['Meco']
StarStruck,['Christopher Wilde']
Starboy,['The Weeknd Featuring Daft Punk']
Starbright,['Johnny Mathis']
Stardust,['Nino Tempo & April Stevens' 'Frank Sinatra']
Stargazer,['Peter Brown']
Stargazing,['Travis Scott']
Stargirl Interlude,['The Weeknd Featuring Lana Del Rey']
Staring At The Sky,['XXXTENTACION']
Staring At The Sun,['U2' 'Post Malone Featuring SZA']
Starlight,['The Preludes Five']
"Starlight, Starbright",['Linda Scott']
Starman,['David Bowie']
Starry Eyed,['Gary Stites']
Starry Eyed Surprise,['Oakenfold Featuring Shifty Shellshock']
Starry Eyes,['The Records']
Stars,['Simply Red' 'Switchfoot' 'Grace Potter & The Nocturnals' 'Amanda Brown']
Stars Are Blind,['Paris Hilton']
Stars In My Eyes,['Sugarloaf/Jerry Corbetta']
Stars on 45 III,['Stars On']
Starships,['Nicki Minaj']
Starstrukk,['3OH!3 Featuring Katy Perry']
Start A Band,['Brad Paisley Duet With Keith Urban']
Start All Over,['Miley Cyrus']
Start It All Over,['McGuffey Lane']
Start Me Up,['The Rolling Stones']
Start Me Up / Livin' On A Prayer,['Glee Cast']
Start Of Something New,"['Zac Efron, Andrew Seeley & Vanessa Anne Hudgens']"
Start The Car,['Jude Cole']
Start The Commotion,['The Wiseguys']
Start This S**t Off Right,['Lil Wayne Featuring Ashanti & Mack Maine']
Start Wit Me,['Roddy Ricch & Gunna']
Started From The Bottom,['Drake']
"Started Out Dancing, Ended Up Making Love","[""Alan O'Day""]"
Startender,['A Boogie Wit da Hoodie Featuring Offset & Tyga']
Startin' With Me,['Jake Owen']
Starting All Over Again,['Mel And Tim']
Starting Over Again,['Dolly Parton']
Starving,['Hailee Steinfeld & Grey Featuring Zedd']
State Of Grace,['Taylor Swift']
State Of Independence,['Donna Summer']
State Of The Union,['Industry']
State Of the Heart,['Rick Springfield']
State of Shock,['The Jacksons']
Stay,"['Post Malone' 'Zedd & Alessia Cara' 'The 4 Seasons' 'Sugarland' 'Jodeci'
 'Rihanna Featuring Mikky Ekko' 'Eternal' 'Florida Georgia Line'
 'Rufus/Chaka Khan' ""Shakespear's Sister"" 'Maurice Williams & The Zodiacs'
 'Miley Cyrus' 'The Ames Brothers']"
"Stay (Faraway, So Close!)",['U2']
"Stay (I Missed You) (From ""Reality Bites"")",['Lisa Loeb & Nine Stories']
Stay A Little Longer,['Brothers Osborne']
Stay And Love Me All Summer,['Brian Hyland']
Stay Awake,['Ronnie Laws']
Stay Away,['Elvis Presley With The Jordanaires']
Stay Away From Me,['The Sylvers']
Stay Away From Me (I Love You Too Much),['Major Lance']
Stay Away From My Baby,['Ted Taylor']
Stay Awhile,['The Bells' 'Dusty Springfield' 'Continental Miniatures']
Stay Close To Me,['Five Stairsteps & Cubie']
Stay Fly,['Three 6 Mafia Featuring Young Buck & Eightball & MJG']
Stay Forever,['Joey Lawrence']
Stay Gone,['Jimmy Wayne']
Stay In My Corner,['The Dells']
Stay In Time,['Off Broadway USA']
Stay Or Let It Go,['Brian McKnight']
Stay Real,['Erick Sermon']
Stay Schemin,['Rick Ross Featuring Drake & French Montana']
Stay Stay Stay,['Taylor Swift']
Stay The Night,"['IMx' 'Zedd Featuring Hayley Williams' 'Chicago' 'Benjamin Orr'
 'The Faragher Bros.' 'James Blunt']"
Stay The Same,['Joey McIntyre']
Stay Together Young Lovers,['Brenda & The Tabulations']
Stay True,['Sly Fox']
Stay With Me,['Sam Smith' 'Faces' 'Lorraine Ellison' 'Frank Sinatra' 'Josh Kaufman']
Stay With Me (Brass Bed),['Josh Gracin']
Stay With Me Tonight,['Jeffrey Osborne']
Stay With You,['Goo Goo Dolls']
Stay/The Load-Out,['Jackson Browne']
Stayin' Alive,['N-Trance' 'Bee Gees']
Stayin' In,['Bobby Vee']
Staying Together,['Debbie Gibson']
Staying With It,['Firefall']
Stays In Mexico,['Toby Keith']
Steady,['Jules Shear']
Steady Mobbin',['Young Money Featuring Gucci Mane']
"Steady, As She Goes",['The Raconteurs']
Steal Away,['Robbie Dupree' 'Jimmy Hughes' 'Johnnie Taylor']
Steal My Girl,['One Direction']
Steal My Sunshine,['Len']
Steal The Night,['Stevie Woods']
Stealer,['Free']
Stealin',['Uriah Heep']
Stealing Cinderella,['Chuck Wicks']
Stealing In The Name Of The Lord,['Paul Kelly']
Steam,['Peter Gabriel' 'Ty Herndon']
Steamroller Blues/Fool,['Elvis Presley']
Steamy Windows,['Tina Turner']
Steel Men,['Jimmy Dean']
Steelo,['702']
Step By Step,['New Kids On The Block' 'The Crests' 'Joe Simon' 'Eddie Rabbitt']
"Step By Step (From ""The Preacher's Wife"")",['Whitney Houston']
Step Daddy,['Hitman Sammy Sam']
Step In The Name Of Love,['R. Kelly']
Step Into A World (Rapture's Delight),['KRS-One']
Step It Up,"[""Stereo MC's""]"
Step On,['Happy Mondays']
Step Out,['The Mamas & The Papas']
Step Out Of Your Mind,['The American Breed']
Step To This,['Master P Featuring D.I.G.']
Stepped On My J'z,['Nelly Featuring Ciara & JD']
Steppin' In A Slide Zone,['The Moody Blues']
Steppin' Out,['Joe Jackson' 'Neil Sedaka' 'Paul Revere & The Raiders' 'Kool & The Gang']
Steppin' Out (Gonna Boogie Tonight),['Tony Orlando & Dawn']
Stepping Stone,['Eminem' 'Lari White']
Steps 1 And 2,['Jack Scott']
Stereo Hearts,['Gym Class Heroes Featuring Adam Levine' 'Glee Cast']
Stereo Love,['Edward Maya & Vika Jigulina']
Stereotomy,['The Alan Parsons Project']
Steve McQueen,['Sheryl Crow']
Stewball,"['Peter, Paul & Mary']"
Stick Around,['Julian Lennon']
Stick Shift,['Duals']
Stick Talk,['Future']
Stick To The Status Quo,['High School Musical Cast']
Stick With Me Baby,['The Everly Brothers']
Stick-Up,['The Honey Cone']
Sticks And Stones,['Ray Charles and his Orchestra']
Stickwitu,['The Pussycat Dolls']
Still,['Bill Anderson' 'Commodores' 'John Schneider' 'Tim McGraw' 'The Sunrays']
Still A G Thang,['Snoop Dogg']
Still A Thrill,['Jody Watley']
Still Ballin,['2Pac Featuring Trick Daddy']
Still Crazy After All These Years,['Paul Simon']
Still Cruisin',['The Beach Boys']
Still D.R.E.,['Dr. Dre Featuring Snoop Dogg']
Still Fly,['Big Tymers']
Still Frame,['Trapt']
Still Got It,['Tyga Featuring Drake']
Still Got The Blues,['Gary Moore']
Still Got Time,['Zayn Featuring PARTYNEXTDOOR']
Still Here,['Drake']
Still In Love,['Teena Marie Featuring Baby']
Still In My Heart,['Tracie Spencer']
Still In Saigon,['The Charlie Daniels Band']
Still In The Game,['Steve Winwood']
Still Into You,['Paramore']
Still Loving You,['Scorpions']
Still No. 2,['Ben Colder']
Still Not A Player,['Big Punisher Featuring Joe']
Still Of The Night,['Whitesnake']
Still On Your Side,['BBMak']
Still Po' Pimpin',['Do Or Die Featuring Johnny P & Twista']
Still Right Here In My Heart,['Pure Prairie League']
Still Taking Chances,['Michael Murphey']
Still The Lovin' Is Fun,['B.J. Thomas']
Still The One,['Orleans']
Still The Same,['Bob Seger & The Silver Bullet Band']
Still They Ride,['Journey']
Still Tippin',['Mike Jones Featuring Slim Thug & Paul Wall']
Still Water (Love),['Four Tops']
Still Waters (Run Deep),['Bee Gees']
Still Waters Run Deep,['Brook Benton']
Still Will,['50 Cent Featuring Akon']
Stillsane,['Carolyne Mas']
Stimulation,['Wa Wa Nee']
Sting Ray,['The Routers']
Stingy,['Ginuwine']
Stir Fry,['Migos']
Stir It Up,['Johnny Nash' 'Patti LaBelle']
Stir It Up And Serve It,['Tommy Roe']
Stitch By Stitch,['Javier Colon']
Stitches,['Shawn Mendes']
Stockholm,['Lawrence Welk And His Orchestra']
Stockholm Syndrome,['One Direction']
Stole,['Kelly Rowland']
Stolen,['Dashboard Confessional']
Stolen Dance,['Milky Chance']
Stomp!,['The Brothers Johnson']
Stone Blue,['Foghat']
Stone Cold,['Rainbow']
Stone Cold Gentleman,['Ralph Tresvant']
Stone Cold Sober,['Crawler']
Stone Love,['Kool & The Gang']
Stoned Cowboy,['Fantasy']
Stoned Love,['The Supremes']
Stoned Out Of My Mind,['The Chi-lites']
Stoned Soul Picnic,['The 5th Dimension']
Stoned To The Bone - Part 1,['James Brown']
Stoner,['Young Thug']
Stones/Crunchy Granola Suite,['Neil Diamond']
Stoney End,['Barbra Streisand']
Stop,['Spice Girls' 'Sam Brown' 'Howard Tate']
Stop And Smell The Roses,['Mac Davis']
Stop And Stare,['OneRepublic']
Stop And Think It Over,['Dale & Grace']
Stop Being Greedy,['DMX']
Stop Doggin' Me Around,['Klique']
Stop Draggin' My Heart Around,['Stevie Nicks With Tom Petty And The Heartbreakers']
Stop Her On Sight (S.O.S.),['Edwin Starr']
Stop In The Name Of Love,['The Hollies']
Stop Monkeyin' Aroun',['The Dovells']
Stop Snitching,['YG']
Stop Stop Stop,['The Hollies']
Stop Takin' Me For Granted,['Mary Wells']
Stop The Gunfight,"['Trapp Featuring 2pac, Notorious B.I.G.']"
Stop The Music,['The Shirelles']
Stop The War Now,['Edwin Starr']
Stop The Wedding,['Etta James']
Stop The World,['Extreme']
Stop This Game,['Cheap Trick']
Stop To Love,['Luther Vandross']
Stop To Start,['Blue Magic']
Stop Trying To Be God,['Travis Scott']
Stop Your Sobbing,['Pretenders']
Stop!,['Erasure' 'The Moody Blues']
Stop! - Get A Ticket,['Clefs Of Lavender Hill']
Stop! And Think It Over,['Perry Como']
Stop! In The Name Of Love,['The Supremes' 'Margie Joseph']
Stop! In The Name Of Love / Free Your Mind,['Glee Cast']
Stop! Look What You're Doing,['Carla Thomas']
"Stop, Look And Listen",['The Chiffons']
"Stop, Look, Listen (To Your Heart)",['The Stylistics']
"Stop, Wait & Listen",['Circus']
Storm,['Lenny Kravitz Featuring Jay-Z']
Storm Warning,['Hunter Hayes']
Stormy,['Santana' 'Classics IV Featuring Dennis Yost']
Stormy Monday Blues,['Bobby Bland']
Story Of My Life,['One Direction']
Storybook Children,['Billy Vera & Judy Clay']
Storybook Children (Daybreak),['Bette Midler']
Stout-Hearted Men,['Barbra Streisand']
Straight A's In Love,['Johnny Cash And The Tennessee Two']
Straight Flush,['The Frantics']
Straight From The Heart,['Bryan Adams' 'The Allman Brothers Band']
Straight From The Heart (Into Your Life),['Coyote Sisters']
Straight On,['Heart']
Straight Out Of Line,['Godsmack']
Straight Outta Compton,['N.W.A']
Straight Shootin' Woman,['Steppenwolf']
Straight To The Bank,['50 Cent']
Straight To Your Heart,['Bad English']
Straight Up,['Paula Abdul' 'Chante Moore']
Straighten Up & Fly Right,['DeJohn Sisters']
Straighten Up Your Heart,['Barbara Lewis']
Stranded,['Heart']
Stranded (Haiti Mon Amour),"['Jay-Z, Bono, The Edge & Rihanna']"
Stranded In The Middle Of Noplace,['The Righteous Brothers']
Strange,['Reba' 'Patsy Cline']
Strange Are The Ways Of Love,['Gogi Grant']
Strange But True,['Times Two']
Strange Clouds,['B.o.B Featuring Lil Wayne']
Strange Currencies,['R.E.M.']
Strange Feeling,['Billy Stewart']
Strange I Know,['The Marvelettes']
Strange Magic,['Electric Light Orchestra']
Strange Things Happening,['Little Jr. Parker']
Strange Way,['Firefall']
Strangelove,['Depeche Mode']
Stranger,['Jefferson Starship' 'Stephen Stills' 'Hilary Duff']
Stranger From Durango,['Richie Allen']
Stranger In Moscow,['Michael Jackson']
Stranger In My Home Town,['Foghat']
Stranger In My House,['Tamia' 'Ronnie Milsap']
Stranger In My Mirror,['Randy Travis']
Stranger In Town,['Toto' 'Del Shannon']
Stranger In Your Arms,['Bobby Vee']
Stranger On The Shore,['Mr. Acker Bilk' 'The Drifters' 'Andy Williams']
Stranger Things,['Joyner Lucas & Chris Brown']
Stranger To Love,['St. Paul']
Strangers,['Halsey Featuring Lauren Jauregui']
Strangers In A Strange World,['Jenny Burton & Patrick Jude']
Strangers In The Night,['Frank Sinatra']
Stranglehold,['Paul McCartney']
Strap Me In,['The Cars']
Strawberries,['Smooth']
Strawberry,['Nicole Renee']
Strawberry Fields Forever,['The Beatles']
Strawberry Letter 23,['The Brothers Johnson' 'Tevin Campbell']
Strawberry Shortcake,['Jay And The Techniques']
Strawberry Wine,['Deana Carter']
Stray Cat Strut,['Stray Cats']
Street Corner,['Ashford & Simpson']
Street Corner Serenade,['Wet Willie']
Street Dreams,['Nas']
Street Fighting Man,['The Rolling Stones']
Street Life,['The Crusaders']
Street Of Dreams,['Nia Peeples' 'Rainbow']
Street Singin',['Lady Flash']
Street Talk,['B.C.G. (B.C. Generation)']
Streetcorner Symphony,['Rob Thomas']
"Streets Of Philadelphia (From ""Philadelphia"")",['Bruce Springsteen']
"Streiht Up Menace (From ""Menace II Society"")",['MC Eiht']
Strength,['The Alarm']
Stressed Out,['twenty one pilots']
Stretch You Out,['Summer Walker Featuring A Boogie Wit da Hoodie']
Stricken,['Disturbed']
Strike It Up,['Black Box']
String Along,['Rick Nelson' 'Fabian']
Strip,['Chris Brown Featuring Kevin K-MAC McCall' 'Adam Ant']
Strip It Down,['Luke Bryan']
Strip Me,['Natasha Bedingfield']
Strip That Down,['Liam Payne Featuring Quavo']
Strobelite Honey,['Black Sheep']
Stroke You Up,['Changing Faces']
Strong,['One Direction']
Strong Enough,['Sheryl Crow' 'Cher']
Strong Enough To Be Gentle,['Black Oak Arkansas']
Stronger,['Britney Spears' 'Kanye West' 'Glee Cast']
Stronger (What Doesn't Kill You),['Kelly Clarkson']
Stronger Than Before,['Carole Bayer Sager']
Stronger Woman,['Jewel']
Strung Out,['Steve Perry']
Strut,['Sheena Easton' 'The Cheetah Girls']
Struttin',['Billy Preston']
Struttin' My Stuff,['Elvin Bishop']
Stubborn Kind Of Fellow,['Marvin Gaye']
Stubborn Love,['The Lumineers']
Stuck,['Stacie Orrico']
Stuck In A Dream,['Lil Mosey x Gunna']
Stuck In A Moment You Can't Get Out Of,['U2']
Stuck In The Middle With You,['Stealers Wheel']
Stuck Like Glue,['Sugarland']
Stuck On A Feeling,['Prince Royce Featuring Snoop Dogg']
Stuck On You,['Elvis Presley With The Jordanaires' 'Lionel Richie']
Stuck With You,['Huey Lewis & The News']
Studio,['ScHoolboy Q Featuring BJ The Chicago Kid']
Stuff Like That,['Quincy Jones']
Stumblin' In,['Suzi Quatro & Chris Norman']
Stunt 101,['G Unit']
Stuntin' Like My Daddy,['Birdman & Lil Wayne']
Stunting Ain't Nuthin,['Gucci Mane Featuring Slim Jxmmi & Young Dolph']
Stupid Boy,['Keith Urban' 'Cassadee Pope']
Stupid Cupid,['Connie Francis']
Stupid Girl,['Cold' 'Garbage']
Stupid Girls,['P!nk']
Stupid Hoe,['Nicki Minaj']
Stutter,['Joe Featuring Mystikal' 'Maroon 5' 'Elastica']
Style,['Taylor Swift']
Suavecito,['Malo']
Suavemente,['Elvis Crespo']
Sub-rosa Subway/calling Occupants,['Klaatu']
Subeme La Radio,"['Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul']"
Substitute,['Clout']
Subterranean Homesick Blues,['Bob Dylan']
Suburbia,['Pet Shop Boys']
Successful,['Drake Featuring Trey Songz & Lil Wayne']
Such A Night,['Elvis Presley With The Jordanaires' 'Dr. John']
Such A Shame,['Talk Talk']
Such A Sweet Thing,['Mary Wells']
Such A Woman,['Tycoon']
Sucker,['Jonas Brothers']
Sucker For Pain,"['Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors']"
Sudden Stop,['Percy Sledge']
Suddenly,['Billy Ocean' 'Olivia Newton-John & Cliff Richard' 'Nickey DeMatteo']
Suddenly I See,['KT Tunstall']
Suddenly I'm All Alone,['Walter Jackson']
Suddenly Last Summer,['The Motels']
Suddenly You Love Me,['The Tremeloes']
Suds In The Bucket,['Sara Evans']
Sue's Gotta Be Mine,['Del Shannon']
Suffocate,['J. Holiday']
Suga Suga,['Baby Bash Featuring Frankie J']
Sugar,"['Maroon 5' 'Flo Rida Featuring Wynter'
 'Robin Schulz Featuring Francesco Yates']"
Sugar (Gimme Some),"[""Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo""]"
Sugar And Spice,"[""The Cryan' Shames"" 'The Searchers']"
Sugar Babe,['Buster Brown']
Sugar Baby Love,['The Rubettes']
Sugar Bee,['Cleveland Crochet and Band']
Sugar Blues,['Ace Cannon']
Sugar Cane,['Spacemonkeyz']
Sugar Daddy,['Thompson Twins' 'Jackson 5']
Sugar Don't Bite,['Sam Harris']
Sugar Dumpling,['Sam Cooke']
Sugar Free,['Wa Wa Nee']
Sugar Hill,['AZ']
Sugar Honey Ice Tea,['Goodfellaz']
Sugar Lips,"[""Al (He's the King) Hirt""]"
Sugar Magnolia,['Grateful Dead']
Sugar On Sunday,['The Clique']
